Classifier,Number of Folds,Accuracy,Precision,Recall,F1-Score,Specificity,Total Runtime (s)
ZeroR,5 folds,0.5923686497282855,0.7585319674526266,0.5923686497282855,0.440727864418567,0.8,0.3655054569244385
Random Forest,5 folds,0.7882183572623633,0.7847964496085487,0.7882183572623633,0.7787855821647752,0.9173002402906352,542.948962688446
Decision Tree,5 folds,0.7191704602933738,0.7214314223784319,0.7191704602933738,0.7202499642795344,0.9044601148779908,41.35693693161011
Extra Trees,5 folds,0.7842003553687924,0.7804625032753615,0.7842003553687924,0.7736199814119522,0.9142453051087304,258.8927652835846
ZeroR,10 folds,0.5923686497282855,0.7585319674526266,0.5923686497282855,0.440727864418567,0.8,0.5797207355499268
Random Forest,10 folds,0.8004228110449658,0.7977135937596961,0.8004228110449658,0.792265076981793,0.9220717922861884,1168.0274217128754
Decision Tree,10 folds,0.734977886722955,0.7369926971524933,0.734977886722955,0.7359405516670888,0.9098219323960194,90.81250810623168
Extra Trees,10 folds,0.7973152795611066,0.7946136985831778,0.7973152795611066,0.7881657336671936,0.9193908770480724,586.4931721687317
ZeroR,20 folds,0.5923686497282855,0.7585319674526266,0.5923686497282855,0.440727864418567,0.8,0.9998321533203124
Random Forest,20 folds,0.8065522742305747,0.8043066366468438,0.8065522742305747,0.798966101508659,0.9244515309319932,2413.102992534637
Decision Tree,20 folds,0.7430813327626681,0.7450946153227862,0.7430813327626681,0.7440397391706391,0.9126880686646384,185.99310874938965
Extra Trees,20 folds,0.803465494209045,0.8011618350678158,0.803465494209045,0.7950026381126042,0.9218608310197846,1174.1719281673431
