Feature,Mutual Information Score,Pearson Correlation (r),Pearson p-value
Co-Borrower Credit Score_5,0.12262532640999635,0.38065795645430134,0.0
Income,0.09622360246992856,0.08918770076944017,0.0
TraMedY,0.08870433951611978,0.10088764128091987,0.0
UPB,0.07280255733798979,0.07847177779401346,0.0
Amount,0.06644028140831226,0.078632355879258,0.0
LocMedY,0.05083639356163738,0.021433761794182778,2.0335857512799643e-40
NumBor_2,0.04763543168122575,0.14875919491744669,0.0
CoRace_5,0.04421635078644748,0.13953949736161034,0.0
CoGender_2,0.04105375928678634,0.13604780383387655,0.0
Purpose_2,0.04000972771616018,0.12408441665455247,0.0
Term,0.037116703442170884,-0.13662264175397126,0.0
Self_2,0.03336246956285005,0.0003696980644393008,0.8184459298065571
BoRace_5,0.031125845946867958,0.03879370323434285,2.7567365994042024e-128
Co-Borrower Credit Score_4,0.030869064677707003,-0.11879635127871759,0.0
CoAge,0.02910413049838212,0.08959953500220434,0.0
BoAge,0.02700347228101374,0.1447020290987445,0.0
Co-Borrower Credit Score_9,0.02638671879168175,-0.14786588570903464,0.0
CoGender_4,0.026068691374430797,-0.14786588570903464,0.0
CoRace_8,0.02479909800458069,-0.14786588570903464,0.0
Co-Borrower Credit Score_3,0.02314213182822855,-0.2101913195085965,0.0
CurAreY,0.022973779289700458,0.026553472124448887,4.339108674717364e-61
LTV,0.02237489004420934,-0.03308001051291117,8.551181409758301e-94
FHLBankID_3,0.020403675434498947,0.14716547905205293,0.0
Co-Borrower Credit Score_2,0.012753286298711641,-0.19304585015031572,0.0
AcquDate,0.011412725639530219,-0.02712707852260976,1.118597802834792e-63
MortDate,0.010575616599319604,-0.026543115083608675,4.8265520443483664e-61
FIPSStateCode_39,0.010557341804672937,0.11731806479537985,0.0
Year,0.01026220364943109,-0.02712707852260976,1.118597802834792e-63
BoGender_2,0.008197270650900146,-0.049559903084785584,3.5129155162361255e-208
Back,0.007766793649342629,-0.045784060088859956,6.106483063877023e-178
MSA_17140,0.00734458548976713,0.10061504576414143,0.0
MinPer,0.005978586488435855,-0.07727906089187254,0.0
FHLBankID_2,0.005564749582706696,-0.07712402863759217,0.0
FHLBankID_10,0.005427009940765171,-0.05192103964516816,2.6011694816378345e-228
MSA_99999,0.004460402470492841,-0.03814145239118346,4.516140879312405e-124
Rate,0.004384050393822392,-0.027558988818318367,1.156436755359628e-65
FIPSStateCode_17,0.003907636287250327,-0.07566735502722889,0.0
FHLBankID_5,0.0037878793311105774,-0.037536369715544124,3.1660549810167446e-120
FHLBankID_6,0.0036596674808078156,0.058881859082127154,3.934658681493932e-293
FIPSStateCode_18,0.0034468719642295476,0.05621205927463837,2.6528271531809536e-267
FIPSStateCode_6,0.0026507708785237227,0.003798235685735146,0.01835786728825861
FIPSCountyCode_61,0.002545629615105849,0.05504746757624477,2.0574367417840613e-256
MSA_12300,0.002533010611596831,1.2875186959785621e-05,0.9936216519761712
Purpose_6,0.0024752506787975026,-0.01865182916003117,5.092686249757258e-31
CoGender_3,0.0024335685522234307,0.025672811449159255,3.197687211362592e-57
MSA_42200,0.002417193980123855,0.0005780775173283338,0.719650183758698
MSA_44260,0.0023823276147685313,0.0007812616237216947,0.6276176800410687
BoRace_3,0.00237494979919739,-0.08406185872635785,0.0
MSA_26900,0.0023148806387482956,0.05269831468939336,3.8253095206926545e-235
FIPSCountyCode_367,0.0022244211612794107,-0.0016974245295551965,0.2919169088703752
MSA_20780,0.0022185823873945854,0.0034692293029248335,0.031237120284252403
MSA_22820,0.0021804303677239734,-0.0041265108568831685,0.010402722499131035
FIPSStateCode_29,0.002160736376700001,-0.030466800376231864,7.640962389546019e-80
FIPSStateCode_26,0.002109995350868532,0.0464568656087462,3.742354089331368e-183
MSA_30100,0.002107069401517281,0.0033465173924922993,0.037723467026162784
MSA_24220,0.0020721107644321446,-0.002821991606494729,0.0797448757915673
MSA_23420,0.002062226913175813,0.0017896701539492697,0.26648189392723315
MSA_41180,0.0020601326227676076,-0.025888654095443216,3.706393817869363e-58
FIPSCountyCode_131,0.00204342545542624,0.0019178080154908831,0.23374725227865947
FIPSCountyCode_35,0.0020372272440325467,-0.01113978946226843,4.617274947694143e-12
MSA_24300,0.002031776944219743,0.001798188318491974,0.2642125388439735
CoRace_7,0.002029181036491856,0.025966455477503446,1.6970672178994528e-58
MSA_47980,0.0020262349657722556,-0.006683462616222469,3.3278758397088e-05
Front,0.002025074243320102,-0.020966964854569146,9.448367734472375e-39
MSA_41884,0.0019923260402912035,0.0016031593779464318,0.31954334685975916
MSA_18500,0.0019805664353496066,-0.022316085069370384,1.142691577979787e-43
MSA_26860,0.0019516842067290874,0.0007818855984249127,0.6273428970953404
BoGender_3,0.0019374610007327764,0.0168869918997752,1.0036874159403048e-25
MSA_25500,0.0019134010887502662,-0.00047422998672553104,0.768415769162611
FIPSCountyCode_5,0.001913316503616036,-0.007254712219426121,6.653412612713027e-06
MSA_11660,0.0018983726056822636,0.001603159377946432,0.31954334685975916
MSA_31180,0.0018665126446986147,-0.023560722761163302,1.7866925126867765e-48
MSA_31080,0.0018564099671334322,0.0039236903724565566,0.014841855444110425
MSA_19300,0.0018212470065057662,-0.0007321973580409199,0.6493834645594925
MSA_11300,0.0018088548629808798,0.002333837719567489,0.14731699815418406
MSA_44980,0.0017742634163699922,-0.010820089553944923,1.8379040962175814e-11
MSA_18180,0.0017344360364388578,0.004113361566749048,0.0106498540661616
MSA_18140,0.0017107559533102723,0.054061082077275356,2.277835237235958e-247
FIPSCountyCode_221,0.0017057105720368337,-0.007319322542912824,5.503893338297493e-06
MSA_24580,0.0016943926775654372,-0.016435284684647347,1.877392292430822e-24
FHLBankID_8,0.0016901672911528998,-0.05188808055992775,5.042408870231081e-228
FIPSStateCode_21,0.0016854844582647743,0.047336814325135465,4.3715965154607816e-190
MSA_22780,0.0016850626464828267,-0.003097639737700937,0.05444007822321326
MSA_42700,0.0016841841686983106,-0.0027258699410608505,0.09055328446558109
FIPSCountyCode_227,0.0016725405338495758,0.0023359991843667012,0.14694261359460015
MSA_33540,0.0016358003126362153,0.002365637184911287,0.14188216795203965
FIPSCountyCode_21,0.0016337317311523325,-0.01246069851455391,1.0170621670278568e-14
MSA_48140,0.0016265149786052202,0.003029758179471249,0.05994870817657749
MSA_24740,0.0016228625531411467,0.001133603397216543,0.4815257928377492
FIPSCountyCode_383,0.0016053527853734373,0.0011336033972165428,0.4815257928377492
MSA_42660,0.0015931939940534434,0.0037963626877209793,0.018415463649047798
FIPSCountyCode_67,0.0015846862563391184,0.007755943695241496,1.4667672114122158e-06
MSA_41260,0.0015821365523149833,-0.0038467538285428407,0.01691984357477732
FIPSStateCode_25,0.00157539370221782,-0.0032710219181648864,0.04225787677795171
FIPSStateCode_45,0.0015531591102584397,-0.024247256674930166,3.0938650337920105e-51
FIPSCountyCode_499,0.001552778759368767,-0.0011694607835949086,0.46776864820303
MSA_19124,0.0015455282674350368,0.0007867703882050516,0.6251935453981575
FIPSCountyCode_685,0.0015255157654989748,-0.0018490870498652136,0.250930292136424
MSA_19420,0.0015182041058814377,0.0007812616237216946,0.6276176800410687
FIPSStateCode_54,0.0015152588874349782,-0.023343119681352213,1.2909919010137487e-47
